team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Hungary National Team,Hungary,2024,Hungary,3,1,2,0,1,0,1,0,0,0,2,1,1,1,0,1.5,3,0,0,17,2,5,-3,7,4,3,1,1,3,2,-2,-1,134,90,180,54,30,90,1,0,1,1,1,0,1,0,1,1,0,1,15,2,13,9,2,7,43,50,39,28,6,22,14,3,11,14,3,11,32,9,23,0,0,0,3,2,1,-3,-2,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,2.33,4,1.5,0.67,1,0.5,1.67,3,1,1,2,0.5,0,0,0,1,2,0.5,3,2,1,1,0,0,1,1,1,1,0,0,2,1,0,0,0,0,0,1,2,2,3,3,0,0,0,0,1,1,0,1,2,2,2,2,100,67,33,33,0,0,100,100,100,100,0,0,100,50,0,0,0,0,0,33,67,67,100,100,0,0,0,0,100,100,0,50,100,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,100,100,0,50,0,0,33,0,50,-16,33,0,50,33,100,0,33,0,50,33,0,50,1,0,1,33,0,50,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,33,0,50,67,100,50,5.00,2.00,6.50,3,2,3.50,100,100,33,33,33,33,33,33,1.17,0.87,1.32,1.35,1.62,1.22,33,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,67,100,50,33
Italy National Team,Italy,2024,Italy,4,1,3,0,1,1,0,1,0,1,2,0,2,1,3,0.33,2,0,0,13,3,5,-2,8,3,5,2,1,1,4,1,-3,120,45,273,72,90,68,0,0,0,2,1,1,2,0,2,0,0,0,24,5,19,9,2,7,54,68,49,31,11,20,14,6,8,17,5,12,42,7,35,2,2,0,2,1,1,0,1,-1,1,1,0,2,0,2,1,0,1,1.25,3,0.67,2,3,1.67,0.75,2,0.33,1.25,1,1.33,1,3,0.33,0.5,2,0,0.5,1,0.33,4,3,1,0,0,0,1,1,1,0,0,0,3,2,0,0,0,0,0,1,3,4,4,4,0,0,0,1,1,1,0,1,3,3,3,3,100,75,25,0,0,0,100,100,100,0,0,0,100,67,0,0,0,0,0,25,75,100,100,100,0,0,0,100,100,100,0,33,100,100,100,100,2,1,1,1,1,1,1,0,0,50,25,25,100,100,100,33,0,0,25,100,0,94,0,0,0,50,100,33,50,0,67,0,0,0,2,0,2,50,0,67,3,0,3,75,0,100,1,1,0,25,100,0,25,100,0,50,0,67,25,0,33,6.00,5.00,6.33,2.25,2,2.33,100,75,50,50,25,25,25,0,1.09,1.66,0.89,1.39,0.65,1.63,75,0,2,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,25,0,33,50,0,67,0
Albania National Team,Albania,2024,Albania,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,4,0,0,22,3,5,-2,8,1,7,0,3,1,4,-1,-1,90,0,60,54,90,45,0,0,0,2,0,2,1,1,0,2,0,2,6,2,4,7,2,5,38,41,36,25,8,17,15,5,10,10,3,7,24,6,18,2,0,2,3,1,2,-1,-1,0,1,0,1,0,0,0,2,1,1,1,0,1.5,2.67,1,3.5,1,0,1.5,1.67,1,2,1.67,1,2,0.67,0,1,1,1,1,3,2,2,1,0,0,1,0,0,0,0,0,2,2,2,1,0,0,0,1,1,2,3,3,0,1,1,1,1,1,0,0,0,1,2,2,100,67,67,33,0,0,100,0,0,0,0,0,100,100,100,50,0,0,0,33,33,67,100,100,0,100,100,100,100,100,0,0,0,50,100,100,3,1,1,1,0,0,2,1,1,100,33,33,100,0,0,100,50,50,0,0,0,-30,0,0,0,67,0,100,33,100,0,67,0,100,1,0,1,33,0,50,1,1,0,33,100,0,1,0,1,33,0,50,33,0,50,0,0,0,67,100,50,2.00,2.00,2.00,2.33,2,2.50,67,67,0,0,0,0,0,0,1.06,1.14,1.02,1.97,1.60,2.16,133,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,33,0,50,67,100,50,0
Belgium National Team,Belgium,2024,Belgium,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,1,0,0,14,2,2,0,4,3,1,2,0,1,1,1,-1,180,90,0,180,180,180,2,1,1,0,0,0,3,1,2,1,1,0,21,12,9,7,4,3,55,58,53,41,28,13,25,17,8,16,11,5,41,23,18,1,1,0,1,1,0,0,0,0,1,1,0,2,0,2,1,1,0,1.25,1.5,1,1,1.5,0.5,0.5,1,0,0.5,0.5,0.5,0.5,1,0,0.25,0.5,0,0.25,0.5,0,3,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,3,4,4,4,4,0,1,2,2,2,2,1,2,2,2,2,2,75,25,0,0,0,0,100,50,0,0,0,0,50,0,0,0,0,0,25,75,100,100,100,100,0,50,100,100,100,100,50,100,100,100,100,100,2,0,0,2,0,0,0,0,0,50,0,0,100,0,0,0,0,0,25,50,0,0,50,50,50,0,0,0,75,50,100,25,50,0,3,1,2,75,50,100,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,0,100,25,50,0,5.25,6.00,4.50,1.75,2,1.50,100,75,75,75,50,50,25,25,1.42,1.85,1.00,1.48,1.35,1.60,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,25,0,50,50,50,50,0
Netherlands National Team,Netherlands,2024,Netherlands,6,4,2,0,3,1,2,1,1,0,2,2,0,1.67,1,3,3,0,0,3,10,7,3,17,11,6,5,5,6,1,-1,4,54,72,36,77,60,180,2,1,1,4,3,1,1,1,0,2,1,1,33,14,19,11,8,3,54,48,66,68,31,37,29,17,12,39,14,25,67,50,17,3,1,2,4,3,1,-1,-2,1,1,0,1,3,2,1,2,2,0,1,0.5,2,2.83,2.75,3,1.67,1.25,2.5,1.17,1.5,0.5,1.17,1,1.5,0.5,0.25,1,0.67,0.75,0.5,5,5,5,1,1,0,3,3,3,1,1,0,2,2,2,0,0,0,1,1,1,5,5,6,1,1,1,3,3,4,0,0,0,2,2,2,83,83,83,17,17,0,75,75,75,25,25,0,100,100,100,0,0,0,17,17,17,83,83,100,25,25,25,75,75,100,0,0,0,100,100,100,5,2,0,3,1,0,2,1,0,83,33,0,75,25,0,100,50,0,50,25,100,-27,33,25,50,67,75,50,17,25,0,33,25,50,2,1,1,33,25,50,3,3,0,50,75,0,2,1,1,33,25,50,17,0,50,50,50,50,33,50,0,5.50,3.50,9.50,1.83,2,1.50,83,67,67,33,17,17,17,17,1.42,1.07,2.12,1.22,1.27,1.14,67,1,1,1,0,1,0,1,2,3,1,2,0,1,0,1,0,1,1,17,25,0,33,50,0,17
Slovakia National Team,Slovakia,2024,Slovakia,4,2,2,0,1,0,1,1,1,0,2,1,1,1,0.5,1.5,3,0,0,15,4,5,-1,9,5,4,2,2,3,2,-1,0,90,90,90,72,60,90,1,0,1,3,2,1,0,0,0,4,2,2,16,9,7,8,1,7,48,57,39,43,23,20,20,11,9,23,12,11,49,20,29,4,2,2,1,1,0,3,1,2,3,1,2,1,1,0,0,0,0,2.5,2,3,2.25,2.5,2,1,1,1,1.25,1.5,1,1.25,1.5,1,1,1,1,0.25,0.5,0,4,3,2,0,0,0,2,2,1,0,0,0,2,1,1,0,0,0,0,1,2,4,4,4,0,0,1,2,2,2,0,1,1,2,2,2,100,75,50,0,0,0,100,100,50,0,0,0,100,50,50,0,0,0,0,25,50,100,100,100,0,0,50,100,100,100,0,50,50,100,100,100,4,1,0,2,1,0,2,0,0,100,25,0,100,50,0,100,0,0,25,0,50,-10,25,0,50,75,100,50,0,0,0,100,100,100,3,1,2,75,50,100,0,0,0,0,0,0,1,1,0,25,50,0,75,50,100,25,50,0,0,0,0,4.00,4.50,3.50,2,0.5,3.50,75,75,50,25,25,25,0,0,1.30,1.47,1.13,1.40,1.29,1.51,25,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,25,50,0,50,50,50,0
France National Team,France,2024,France,6,2,4,0,2,1,1,3,1,2,1,0,1,1.5,2,1.25,2,0,0,7,4,3,1,7,3,4,2,2,1,2,1,0,134,90,180,180,180,180,4,1,3,2,1,1,2,0,2,4,2,2,33,16,17,9,4,5,51,57,49,75,31,44,30,12,18,45,19,26,64,19,45,2,0,2,2,0,2,0,0,0,1,0,1,4,2,2,1,0,1,1.17,1,1.25,1.17,1.5,1,0.67,1,0.5,0.5,0.5,0.5,0.67,0,1,0.33,0,0.5,0.33,0,0.5,4,2,1,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,2,4,5,6,6,6,0,1,2,2,2,2,2,3,3,4,4,4,67,33,17,0,0,0,100,50,0,0,0,0,50,25,25,0,0,0,33,67,83,100,100,100,0,50,100,100,100,100,50,75,75,100,100,100,2,1,1,0,0,0,2,1,1,33,17,17,0,0,0,50,25,25,33,50,25,0,67,50,75,33,50,25,33,0,50,67,100,50,5,2,3,83,100,75,4,2,2,67,100,50,1,0,1,17,0,25,17,0,25,67,100,50,17,0,25,5.50,8.00,4.25,1.5,2,1.25,100,83,67,50,33,33,33,17,1.62,2.00,1.44,1.00,0.90,1.04,33,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,50,50,50,17,0,25,0
Croatia National Team,Croatia,2024,Croatia,3,2,1,0,0,0,0,2,2,0,1,0,1,0.67,1,0,3,0,0,19,3,6,-3,9,6,3,3,0,3,3,0,-3,90,60,0,45,60,30,0,0,0,2,2,0,1,0,1,1,1,0,5,5,0,7,7,0,54,54,54,38,24,14,22,16,6,16,8,8,46,33,13,0,0,0,4,1,3,-4,-1,-3,0,0,0,1,1,0,2,1,1,0.33,0.5,0,3,3,3,1,1.5,0,2,1.5,3,1.33,0.5,3,0,0,0,1.33,0.5,3,3,3,2,1,0,0,2,2,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,3,0,0,1,1,2,2,0,0,0,1,1,1,100,100,67,33,0,0,100,100,50,50,0,0,100,100,100,0,0,0,0,0,33,67,100,100,0,0,50,50,100,100,0,0,0,100,100,100,2,1,1,1,0,0,1,1,1,67,33,33,50,0,0,100,100,100,0,0,0,38,0,0,0,67,100,0,33,0,100,33,50,0,1,1,0,33,50,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,33,50,0,67,50,100,1.67,2.50,0.00,2.33,3.5,0.00,33,33,33,33,33,33,33,0,1.78,1.86,1.62,1.23,1.22,1.27,100,0,0,0,0,0,1,0,2,0,0,1,1,1,1,0,0,0,2,67,100,0,33,0,100,0
Denmark National Team,Denmark,2024,Denmark,4,2,2,0,0,0,0,3,2,1,1,0,1,0.75,1,0.5,2,0,0,18,2,4,-2,6,2,4,1,1,1,3,0,-2,180,180,180,90,180,60,1,1,0,2,1,1,2,1,1,1,0,1,27,12,15,8,5,3,55,52,57,39,21,18,20,12,8,19,9,10,48,24,24,2,1,1,1,1,0,1,0,1,1,0,1,3,2,1,0,0,0,1.5,1,2,1.5,1,2,0.5,0.5,0.5,1,0.5,1.5,0.75,1,0.5,0.5,0.5,0.5,0.25,0.5,0,3,3,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,4,4,4,4,1,1,2,2,2,2,0,0,2,2,2,2,75,75,0,0,0,0,50,50,0,0,0,0,100,100,0,0,0,0,25,25,100,100,100,100,50,50,100,100,100,100,0,0,100,100,100,100,2,1,0,1,1,0,1,0,0,50,25,0,50,50,0,50,0,0,0,0,0,25,25,50,0,50,50,50,50,50,50,25,0,50,3,1,2,75,50,100,2,1,1,50,50,50,1,1,0,25,50,0,25,0,50,75,100,50,0,0,0,6.75,6.00,7.50,2,2.5,1.50,75,75,75,75,50,50,25,25,1.35,1.46,1.25,1.28,1.05,1.52,50,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,75,100,50,25,0,50,0
Turkey National Team,Turkey,2024,Turkey,5,2,3,0,3,1,2,0,0,0,2,1,1,1.8,1.5,2,2,0,0,5,8,8,0,16,7,9,3,5,4,4,-1,1,56,60,54,56,45,68,0,0,0,4,1,3,1,1,0,4,1,3,32,14,18,21,5,16,50,50,50,55,24,31,28,13,15,27,11,16,47,26,21,3,1,2,3,3,0,0,-2,2,2,0,2,2,1,1,1,1,0,1.6,0.5,2.33,3.2,3.5,3,1.6,1.5,1.67,1.6,2,1.33,1.2,2,0.67,0.6,0.5,0.67,0.6,1.5,0,5,5,5,1,0,0,2,2,2,1,0,0,3,3,3,0,0,0,0,0,0,4,5,5,0,0,0,1,2,2,0,0,0,3,3,3,100,100,100,20,0,0,100,100,100,50,0,0,100,100,100,0,0,0,0,0,0,80,100,100,0,0,0,50,100,100,0,0,0,100,100,100,4,2,0,2,2,0,2,0,0,80,40,0,100,100,0,67,0,0,60,50,67,-16,0,0,0,80,50,100,20,50,0,80,50,100,3,0,3,60,0,100,2,1,1,40,50,33,1,1,0,20,50,0,40,0,67,40,50,33,20,50,0,6.40,7.00,6.00,4.2,2.5,5.33,100,100,100,100,20,20,20,20,1.38,1.60,1.23,1.54,1.41,1.62,100,1,0,1,1,0,2,1,0,2,0,0,2,1,0,1,3,1,0,0,0,0,40,50,33,0
Scotland National Team,Scotland,2024,Scotland,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,4,0,0,24,2,7,-5,9,3,6,1,1,2,5,-1,-4,134,180,90,39,90,18,0,0,0,2,1,1,1,1,0,1,1,0,7,7,0,7,4,3,44,53,27,13,11,2,4,4,0,9,7,2,36,27,9,1,1,0,4,1,3,-3,0,-3,0,0,0,2,2,0,1,0,1,0.67,1,0,3,1.5,6,0.67,0.5,1,2.33,1,5,1.67,1,3,0.33,0.5,0,1.33,0.5,3,3,2,1,1,1,1,2,1,0,0,0,0,1,1,1,1,1,1,0,1,2,2,2,2,0,1,2,2,2,2,0,0,0,0,0,0,100,67,33,33,33,33,100,50,0,0,0,0,100,100,100,100,100,100,0,33,67,67,67,67,0,50,100,100,100,100,0,0,0,0,0,0,2,2,1,1,1,0,1,1,1,67,67,33,50,50,0,100,100,100,0,0,0,16,0,0,0,67,50,100,33,50,0,33,50,0,1,1,0,33,50,0,2,1,1,67,50,100,1,1,0,33,50,0,0,0,0,67,100,0,33,0,100,2.33,3.50,0.00,2.33,2,3.00,67,67,33,33,33,33,33,0,0.59,0.79,0.20,1.74,1.44,2.34,33,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,2,33,50,0,67,50,100,0
Georgia National Team,Georgia,2024,Georgia,4,2,2,0,1,1,0,1,1,0,2,0,2,1,2,0,3,0,0,12,5,8,-3,13,4,9,3,2,1,7,2,-5,72,60,90,45,180,26,1,1,0,3,1,2,0,0,0,3,2,1,14,6,8,7,5,2,34,33,35,28,12,16,12,6,6,16,6,10,30,18,12,4,2,2,2,0,2,2,2,0,2,2,0,2,0,2,0,0,0,2,3,1,3.25,2,4.5,1.25,1.5,1,2,0.5,3.5,1.5,1,2,1,1,1,0.5,0,1,4,4,2,2,1,0,2,2,0,0,0,0,2,2,2,2,1,0,0,0,2,2,3,4,0,0,2,2,2,2,0,0,0,0,1,2,100,100,50,50,25,0,100,100,0,0,0,0,100,100,100,100,50,0,0,0,50,50,75,100,0,0,100,100,100,100,0,0,0,0,50,100,4,2,0,2,0,0,2,2,0,100,50,0,100,0,0,100,100,0,25,50,0,48,25,50,0,75,50,100,0,0,0,75,100,50,2,2,0,50,100,0,0,0,0,0,0,0,2,0,2,50,0,100,50,100,0,50,0,100,0,0,0,3.50,3.00,4.00,1.75,2.5,1.00,100,100,100,100,75,75,50,50,0.84,0.77,0.92,2.67,2.59,2.76,50,1,1,0,1,1,1,0,0,0,0,0,1,1,0,2,1,1,2,25,50,0,50,0,100,50
Ukraine National Team,Ukraine,2024,Ukraine,3,1,2,0,1,0,1,1,1,0,1,0,1,1.33,1,1.5,4,0,0,11,2,4,-2,6,0,6,0,2,0,4,0,-2,134,0,90,68,0,45,1,1,0,1,0,1,2,1,1,0,0,0,15,3,12,3,1,2,52,40,58,28,10,18,14,5,9,14,5,9,29,9,20,0,0,0,2,0,2,-2,0,-2,0,0,0,1,1,0,2,0,2,0.33,1,0,2,0,3,0.67,0,1,1.33,0,2,0.67,0,1,0,0,0,0.67,0,1,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,3,3,3,1,1,1,1,1,1,0,0,0,2,2,2,67,67,67,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,33,33,33,100,100,100,100,100,100,100,100,100,0,0,0,100,100,100,2,0,0,0,0,0,2,0,0,67,0,0,0,0,0,100,0,0,33,0,50,0,33,100,0,33,0,50,67,100,50,0,0,0,1,1,0,33,100,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,33,100,0,67,0,100,5.00,3.00,6.00,1,1,1.00,100,100,67,67,33,33,0,0,1.23,1.22,1.24,1.30,1.32,1.29,33,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,33,100,0,33,0,50,0
Poland National Team,Poland,2024,Poland,3,2,1,0,0,0,0,1,0,1,2,2,0,0.33,0,1,4,0,0,23,3,6,-3,9,7,2,2,1,5,1,-3,0,90,90,90,45,36,90,0,0,0,3,2,1,0,0,0,1,1,0,10,7,3,7,4,3,41,40,42,31,21,10,17,12,5,14,9,5,40,25,15,2,2,0,2,2,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,3,3.5,2,1,1,1,2,2.5,1,1.33,2,0,0.67,1,0,0.67,1,0,3,3,2,1,0,0,2,2,2,1,0,0,1,1,0,0,0,0,0,0,1,2,3,3,0,0,0,1,2,2,0,0,1,1,1,1,100,100,67,33,0,0,100,100,100,50,0,0,100,100,0,0,0,0,0,0,33,67,100,100,0,0,0,50,100,100,0,0,100,100,100,100,2,2,0,2,2,0,0,0,0,67,67,0,100,100,0,0,0,0,0,0,0,-13,0,0,0,100,100,100,0,0,0,33,50,0,1,0,1,33,0,100,1,0,1,33,0,100,2,2,0,67,100,0,0,0,0,100,100,100,0,0,0,3.33,3.50,3.00,2.33,2,3.00,100,67,67,33,33,33,33,33,1.28,1.36,1.13,1.99,1.97,2.02,33,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,33,0,100,67,100,0,0
