date,total_count
2018-03-08,1485
2018-04-02,1449
2018-10-29,1425
2018-03-02,1423
2018-12-16,1376
2018-03-04,1329
2018-04-01,1307
2018-11-24,1242
2018-11-19,1228
2018-12-17,1154
2018-01-20,1102
2018-12-12,1087
2018-01-07,1009
2018-12-06,993
2018-11-29,918
2018-02-16,840
2018-12-31,784
2018-01-26,724
2018-11-16,716
2018-12-22,688
2018-04-17,656
2018-01-05,646
2018-01-17,596
2018-01-15,512
2018-12-25,470
2018-12-18,447
2018-01-02,377
2018-01-16,372
2018-02-02,355
2018-02-03,301
2018-12-30,232
2018-12-23,188
2018-12-11,146
2018-01-31,130
2018-01-01,91
2018-01-06,57
2018-12-24,32
2018-02-01,7
